Attention,Accuracy,Precision,Recall,F1_Score,Alpha,Epsilon
0,0.51384,0.5117277660363414,0.5063268997848258,0.4992760977901138,0.7,0.7
1,0.61896,0.5894274683840358,0.5917093138303826,0.5896540935910539,0.7,0.7
